DAM_NAME,NAT_ID,CNTY_NAME,EAP,Last EAP Update
Sand Lake Level Control Structure,MI00950,Saint Joseph,Not Required,
Upper Crooked Lake,MI00951,Barry,Not Required,
Grand Mere Lake Level Control Structure,MI00952,Berrien,Not Required,
Dodge Lake,MI00953,Clare,Not Required,
Gray Lake,MI00954,Clare,Not Required,
Silver Lake Level Control System,MI00955,Grand Traverse,Not Required,
Crystal Lake Dam,MI00956,Hillsdale,Not Required,
Big Star Lake Level Control Structure,MI00957,Lake,Not Required,
Wolf Lake Level Control Structure,MI00958,Lake,Not Required,
Huntington Lake Level,MI00959,Macomb,Not Required,
Beckwith Dam,MI00960,Kent,Not Required,
Pretty Lake Dam,MI00961,Mecosta,Not Required,
Crooked Lake,MI00962,Missaukee,Not Required,
Peter's Dam,MI00963,Tuscola,Not Required,
Forest Dunes Lake Dam,MI00964,Crawford,Not Required,
Midland Storage Basin,MI00965,Midland,Yes,15-Nov-13
Stahl Dam,MI00966,Saint Clair,Not Required,
East Brine Storage Lagoon,MI00967,Saint Clair,Not Required,
Petrauskas Pond Dam,MI00968,Oakland,Not Required,
Leavenworth Detention Pond Dam,MI00969,Oakland,Not Required,
The Landings Pond 2 & 3,MI00970,Wayne,,
Vander Graaff Dam,MI00971,Sanilac,Not Required,
Fullerton Dam,MI00972,Kent,Not Required,
Vreba-Hoff #2 Treatment Cell,MI00975,Hillsdale,Not Required,
Vreba-Hoff #2 Storage Cell,MI00976,Hillsdale,Not Required,
Vreba-Hoff #1 Treatment Cell,MI00977,Lenawee,Not Required,
Vreba-Hoff #1 Storage Cell,MI00978,Lenawee,Not Required,
Carrier Creek Structure A,MI00980,Eaton,Yes,04-Mar-11
Carrier Creek Structure B,MI00981,Eaton,Yes,04-Mar-11
Carrier Creek Structure F,MI00982,Eaton,Not Required,
Rotman Dam,MI00985,Allegan,Not Required,
Redridge Steel Dam,MI00991,Houghton,Not Required,
Big Lake Level Control Dam,MI00992,Osceola,Not Required,
Turner Dam,MI00995,Otsego,Not Required,
Big Gulch Pond,MI00997,Alcona,Not Required,
Outlaw Pond,MI00998,Alcona,Not Required,
Otter Pond,MI00999,Alcona,Not Required,
Badger Lake Dam,MI01000,Alcona,Not Required,
Belwin Lodge Dam,MI01001,Alcona,Not Required,
Buggs Dam,MI01002,Alcona,Not Required,
Burger Dam,MI01003,Alcona,Not Required,
Golden Arrow Campground Dam,MI01004,Alcona,Not Required,
Golden Arrow Campground,MI01005,Alcona,Not Required,
Clear Creek Dam,MI01006,Cass,Not Required,
Crow Bar Ranch Dam,MI01007,Alcona,Not Required,
B and G Ranch Dam,MI01008,Alcona,Not Required,
Dage Dam,MI01009,Alcona,Not Required,
Robinson Lake Control Structure,MI01010,Newaygo,Not Required,
Deep Woods Ranch Dam,MI01012,Alcona,Not Required,
Droz Dam,MI01013,Alcona,Not Required,
Grohowski Dam,MI01014,Alcona,Not Required,
Harrisville Mill Pond Dam,MI01015,Cass,Not Required,
Hertzlers Dam,MI01016,Alcona,Not Required,
Indian Creek Club Dam,MI01017,Alcona,Not Required,
Jennings Dam,MI01018,Alcona,Not Required,
Killmaster Dam,MI01019,Alcona,Not Required,
Lost Lake Woods Club Dam,MI01021,Alcona,Not Required,
Manion Dam,MI01022,Alcona,Not Required,
Mayfield Electric Light Plant Dam,MI01023,Grand Traverse,Not Required,
McGinn Dam,MI01024,Alcona,Not Required,
Jewell Lake Dam,MI01025,Alcona,Not Required,
Strangway Dam,MI01026,Alcona,Not Required,
Starh Dam,MI01027,Alcona,Not Required,
Norman Dam,MI01028,Alcona,Not Required,
Pine River Camp Grounds Dam,MI01029,Alcona,Not Required,
Pioneer Club Dam,MI01030,Cass,Not Required,
Rippy Dam,MI01031,Alcona,Not Required,
Rocky R Ranch Dam #1,MI01032,Alcona,Not Required,
Rocky R Ranch Dam #2,MI01033,Alcona,Not Required,
Schrade Dam,MI01034,Alcona,Not Required,
Smith Dam,MI01035,Alcona,Not Required,
Stier Dam,MI01036,Alcona,Not Required,
Thomas Dam,MI01037,Alcona,Not Required,
Three Bears Camo Dam,MI01038,Allegan,Not Required,
Tisdale Dam,MI01039,Alcona,Not Required,
Yerman Dam,MI01040,Alcona,Not Required,
Anderson Dam,MI01041,Alger,Not Required,
Bartol Dam,MI01042,Alger,Not Required,
Browns Dam,MI01043,Alger,Not Required,
Burrell Pond Dam,MI01044,Alger,Not Required,
Doucettes Dam,MI01045,Alger,Not Required,
Lions Club Dam,MI01046,Alger,Not Required,
Lower Hemlock Pond Dam,MI01047,Alger,Not Required,
Michalske Dam,MI01048,Alger,Not Required,
Nibbelink Dam,MI01049,Alger,Not Required,
Nygard Dam,MI01050,Alger,Not Required,
Reynolds Dam,MI01051,Alger,Not Required,
Smith's Dam,MI01052,Alger,Not Required,
Upper Hemlock Pond Dam,MI01053,Alger,Not Required,
Barden Dam,MI01054,Allegan,Not Required,
Denofrio's Pond Dam,MI01055,Allegan,Not Required,
Ende Dam,MI01056,Allegan,Not Required,
Patterson Road Dam,MI01057,Barry,Not Required,
Cooper's Pond Dam,MI01058,Montmorency,Not Required,
Harry Dam,MI01059,Allegan,Not Required,
Jones Dam,MI01060,Allegan,Not Required,
Koops Dam,MI01061,Allegan,Not Required,
Love Dam,MI01062,Allegan,Not Required,
Lower Scott Lake Dam,MI01063,Allegan,Not Required,
Lubic Dam,MI01064,Allegan,Not Required,
Gun River Dam,MI01065,Allegan,Not Required,
Gun River Trib Dam,MI01066,Allegan,Not Required,
Robinson Dam,MI01067,Allegan,Not Required,
Peterson Mill Pond Dam,MI01068,Allegan,Not Required,
Algoe Lake #2 Dam,MI01069,Lapeer,Not Required,
Silver Valley Ponds Dam,MI01070,Allegan,Not Required,
Snyder Dam,MI01071,Allegan,Not Required,
Surprenant Dam,MI01072,Allegan,Not Required,
Highbanks Dam,MI01073,Allegan,Not Required,
Beaver Lake Dam,MI01074,Alpena,Not Required,
Devil's Lake Dam,MI01075,Alpena,Not Required,
Athens Dam,MI01076,Calhoun,Not Required,
Cranberry Lake Dam,MI01077,Montmorency,Not Required,
Long Lake Level Control Structure,MI01078,Alpena,Not Required,
Doty Dam,MI01079,Montmorency,Not Required,
Rade Dam,MI01080,Antrim,Not Required,
Olson Dam,MI01081,Muskegon,Not Required,
Saloon Creek,MI01082,Antrim,Not Required,
Terres Villa Dam,MI01083,Antrim,Not Required,
Webber Dam,MI01084,Antrim,Not Required,
Crake Dam,MI01085,Arenac,Not Required,
Hanchet Pond Dam,MI01086,Arenac,Not Required,
Ludwig Dam,MI01087,Alcona,Not Required,
Wigwam Bay Wildlife Area Dike,MI01088,Arenac,Not Required,
Mutch Dam,MI01089,Arenac,Not Required,
Mutch Dam,MI01090,Arenac,Not Required,
Godell Dam,MI01091,Baraga,Not Required,
Kingston Pond Dam,MI01092,Alger,Not Required,
Albany Creek Lamprey Barrier,MI01093,Chippewa,Not Required,
Mustonen Dam,MI01094,Baraga,Not Required,
Sirand Dam,MI01095,Baraga,Not Required,
Carr Creek Fish Barrier Dam,MI01096,Delta,Not Required,
Walitalo Dam,MI01097,Baraga,Not Required,
Cobb Lake Outlet Dam,MI01098,Barry,Not Required,
Duncan Lake Creek Dam,MI01099,Barry,Not Required,
Fawn Lake Outlet Dam,MI01100,Barry,Not Required,
Cedar Lake Level Control Structure,MI01101,Alcona,Not Required,
Hastings Hatchery Dam,MI01102,Barry,Not Required,
Hubbell Dam,MI01103,Barry,Not Required,
Little Twin Lake Dam,MI01104,Barry,Not Required,
Morgan Dam,MI01105,Barry,Not Required,
Orangeville Rearing Ponds Dam,MI01106,Barry,Not Required,
Schutz Dam,MI01107,Barry,Not Required,
Smith Pond Dam,MI01108,Barry,Not Required,
Wargess Dam,MI01110,Barry,Not Required,
Wolff Dam,MI01111,Barry,Not Required,
Zindler Dam,MI01112,Barry,Not Required,
Brundage Pond Dam,MI01113,Benzie,Not Required,
Carters Mill Dam,MI01114,Benzie,Not Required,
Clark Dam,MI01115,Benzie,Not Required,
Gokey Dam,MI01116,Benzie,Not Required,
Herring Lake Outlet Dam,MI01117,Benzie,Not Required,
Nichols Dam,MI01118,Kent,Not Required,
Rices Dam,MI01119,Benzie,Not Required,
Ackerman Dam,MI01120,Berrien,Not Required,
Andres Dam,MI01121,Berrien,Not Required,
Andres Dam,MI01122,Berrien,Not Required,
Kriel Dam,MI01123,Berrien,Not Required,
Christie Dam,MI01124,Berrien,Not Required,
Deer Haven Lodge Dam,MI01125,Alcona,Not Required,
McCoy Creek Dam,MI01126,Berrien,Not Required,
Schmuhl Dam,MI01127,Berrien,Not Required,
Storick Dam,MI01128,Berrien,Not Required,
Industrial Acres Dam #1,MI01129,Branch,Not Required,
Marble Lake Dam,MI01130,Branch,Not Required,
Maxsons Dam,MI01131,Branch,Not Required,
Unkovich Dam,MI01132,Alcona,Not Required,
Stancer Dam,MI01133,Branch,Not Required,
Swan Creek Dam,MI01134,Branch,Not Required,
A H Randall Milling Dam,MI01135,Calhoun,Not Required,
Long Lake Dam,MI01136,Grand Traverse,Not Required,
Binder Dam,MI01137,Calhoun,Not Required,
Graham Lake Dam,MI01138,Calhoun,Not Required,07-Apr-03
Harry Conway Dam,MI01139,Calhoun,Not Required,
Lower Brace Lake Dam,MI01140,Calhoun,Not Required,
Mc Gee Dam,MI01142,Calhoun,Not Required,
Verona Dam,MI01144,Calhoun,Not Required,
Wilder Creek Dam,MI01145,Calhoun,Not Required,
Mitchell Dam,MI01146,Emmet,Not Required,
Brown Dam,MI01147,Cass,Not Required,
Depa Dam,MI01148,Cass,Not Required,
Diamond Lake Dam,MI01149,Cass,Not Required,
Neib Dam,MI01150,Cass,Not Required,
Sisters of Mercy Dam,MI01151,Oakland,Not Required,
Goshen College Dam,MI01152,Cass,Not Required,
No Name,MI01153,Cass,Not Required,
Pollock Dam,MI01154,Cass,Not Required,
Pyle Dam,MI01155,Cass,Not Required,
Belvedere Golf Club Dam,MI01156,Charlevoix,Not Required,
Marion Hills Dam,MI01158,Charlevoix,Not Required,
Stoner Creek Dam,MI01159,Charlevoix,Not Required,
Walloon Lake Dam,MI01160,Charlevoix,Not Required,
Berry Creek Ranch Dam,MI01161,Cheboygan,Not Required,
Jury Dam,MI01162,Cheboygan,Not Required,
Little Sturgeon Club Dam,MI01163,Cheboygan,Not Required,
Maxson Dam,MI01164,Cheboygan,Not Required,
Roberts Lake Dam,MI01165,Cheboygan,Not Required,
James Farm Walleye Pond Dam,MI01166,Alpena,Not Required,
Twin Lakes Dam,MI01167,Cheboygan,Not Required,
Albion Dam,MI01168,Barry,Not Required,
Twin Lakes - North Lake Level Control Structure,MI01169,Cass,Not Required,
Brannan Dam,MI01170,Chippewa,Not Required,
Brannon Dam,MI01171,Chippewa,Not Required,
Cannon Dam,MI01172,Chippewa,Not Required,
Christian Service Camp Dam,MI01173,Chippewa,Not Required,
Cranberry Lake Dam,MI01174,Chippewa,Not Required,
Drummond Hunting & Fishing Club Dam,MI01175,Chippewa,Not Required,
Eagan Dam,MI01176,Chippewa,Not Required,
Erwins Pond Dam,MI01177,Chippewa,Not Required,
Folkersma Dam,MI01178,Chippewa,Not Required,
Huston Dam,MI01179,Chippewa,Not Required,
Julian Dam,MI01180,Chippewa,Not Required,
Klamerus Pond Dam,MI01181,Chippewa,Not Required,
Kurtis Dam,MI01182,Chippewa,Not Required,
Luedka Dam,MI01183,Chippewa,Not Required,
Mac Cabe Dam,MI01185,Chippewa,Not Required,
McKay Dam,MI01186,Chippewa,Not Required,
Nickley Pond Dam,MI01187,Chippewa,Not Required,
Pendills Creek Fish Hatchery #1 Dam,MI01188,Chippewa,Not Required,
Pendills Creek Diversion Drop Structure,MI01189,Chippewa,Not Required,
Pigeon Cove Dam,MI01190,Chippewa,Not Required,
Plis Dam,MI01191,Chippewa,Not Required,
Plis Dam,MI01192,Chippewa,Not Required,
Reis Pond Dam,MI01193,Chippewa,Not Required,
Rhinehardt Pond Dam,MI01194,Chippewa,Not Required,
Sullivan Creek Dam,MI01195,Chippewa,Not Required,
Superior Rod & Gun Club Dam,MI01196,Chippewa,Not Required,
Days River Lamprey Barrier,MI01197,Delta,Not Required,
Trails End Pond Dam,MI01198,Chippewa,Not Required,
Vanderstar Pond Dam,MI01200,Chippewa,Not Required,
Sharonville Pond #1 Dam,MI01201,Jackson,Not Required,
Wilson Dam,MI01202,Chippewa,Not Required,
Greg Ries Dam,MI01203,Lenawee,Not Required,
Big Cranberry Lake Dam,MI01204,Clare,Not Required,
Ferrel Dam,MI01205,Clare,Not Required,
Klienhart Dam,MI01206,Clare,Not Required,
Five Lakes Dam,MI01207,Clare,Not Required,
Sikkema Dam,MI01208,Clare,Not Required,
Spring Valley Dam,MI01209,Clare,Not Required,
Valdaloch Dam,MI01210,Clare,Not Required,
Winterfield Conservation Club Dam,MI01211,Clare,Not Required,
Alward Lake Dam,MI01212,Clinton,Not Required,
Five Mile Creek Dam,MI01213,Emmet,Not Required,
East Fish Lake Dam,MI01214,Montmorency,Not Required,
Bromley Dam,MI01215,Crawford,Not Required,
Fuller Creek Pond Dam,MI01217,Montmorency,Not Required,
Grayling Game Club Dam,MI01218,Crawford,Not Required,
Madsen Dam,MI01220,Crawford,Not Required,
Meininger Dam,MI01221,Crawford,Not Required,
Birchwood Farms Dam,MI01222,Emmet,Not Required,
Old Fredric Lumber Mill Dam,MI01224,Crawford,Not Required,
Smith Dam,MI01225,Crawford,Not Required,
Wakeley Dam,MI01226,Crawford,Not Required,
Werthermann Dam,MI01227,Crawford,Not Required,
Anderson Dam,MI01228,Delta,Not Required,
Berg's Ponds Dam,MI01229,Delta,Not Required,
Cieglo Dam,MI01230,Delta,Not Required,
Dana Lake Pike Marsh Dam,MI01231,Delta,Not Required,
Kipling Pike Marsh Dam,MI01232,Delta,Not Required,
Lion's Club Dam,MI01233,Delta,Not Required,
Hamilton Marsh Dam,MI01234,Delta,Not Required,
Meiers Trout Ponds Dam,MI01235,Delta,Not Required,
Niemi's Dam,MI01236,Delta,Not Required,
Oja Dam,MI01237,Delta,Not Required,
Ranta's Dam,MI01238,Delta,Not Required,
Rapid River Pike Marsh Dam,MI01239,Delta,Not Required,
Van Damme Dam,MI01240,Delta,Not Required,
Verbrogghe Dam,MI01241,Delta,Not Required,
Coppo Dam,MI01242,Dickinson,Not Required,
Floodwood Lakes Dam,MI01243,Dickinson,Not Required,
Kimberly-Clark Dam,MI01244,Dickinson,Not Required,
Fontana Dam,MI01245,Dickinson,Not Required,
Carlson Dam,MI01246,Dickinson,Not Required,
Mary Lake Dam,MI01247,Dickinson,Not Required,
One Dam No Name,MI01248,Dickinson,Not Required,
Goose Pond Dam,MI01249,Emmet,Not Required,
Norman Skogman Dam,MI01250,Dickinson,Not Required,
Williams Pond Dam,MI01251,Kalamazoo,Not Required,
Sawyer Lake Dam,MI01252,Dickinson,Not Required,
Charlotte City Dam,MI01253,Eaton,Not Required,
Fisher's Dam,MI01254,Eaton,Not Required,
Geldmeyer Dam,MI01255,Dickinson,Not Required,
Hall Dam,MI01256,Eaton,Not Required,
Arfelin Lake Fish Barrier Dam,MI01257,Marquette,Not Required,
Birchwood Farms #2 Dam,MI01258,Emmet,Not Required,
Johnson's Dam,MI01259,Eaton,Not Required,
Lacey Lake Dam,MI01260,Eaton,Not Required,
Jasmond Lake Dam,MI01261,Lapeer,Not Required,
Sanitation Dam,MI01262,Eaton,Not Required,
Van Aken Dam,MI01263,Eaton,Not Required,
Wilmore Dam,MI01264,Eaton,Not Required,
WonsterDam,MI01265,Eaton,Not Required,
Sharpe Dam,MI01266,Branch,Not Required,
Wycamp Lake Dam,MI01267,Emmet,Not Required,
Cummings Dam,MI01268,Genesee,Not Required,
Harrow Dam,MI01269,Genesee,Not Required,
Historical Crossroads Gristmill Dam,MI01270,Genesee,Not Required,
Nellis Dam,MI01271,Genesee,Not Required,
Ross Dam,MI01272,Genesee,Not Required,
Sherwood Dam,MI01273,Genesee,Not Required,
Unsel Dam,MI01274,Genesee,Not Required,
Utah Dam,MI01275,Genesee,Not Required,
Blue Lake Dam,MI01276,Gladwin,Not Required,
Ed Klemack Dam,MI01277,Gladwin,Not Required,
Lake Roland Dam,MI01278,Houghton,Not Required,
Larson Dam,MI01279,Houghton,Not Required,
Manning Dam,MI01280,Houghton,Not Required,
Ollila Dam,MI01281,Houghton,Not Required,
Olson Dam,MI01282,Houghton,Not Required,
Pike Lake Dam,MI01283,Houghton,Not Required,
Sleepy Dam,MI01284,Houghton,Not Required,
Tamarack Dam,MI01285,Houghton,Not Required,
Verona State Game Area Wildlife Flooding Dam,MI01286,Huron,Not Required,
Usitalo Dam,MI01287,Houghton,Not Required,
Winona Dam,MI01288,Houghton,Not Required,
Landsat #39 Dam,MI01289,Huron,Not Required,
Pigeon Stabilization Lagoon Dam,MI01290,Huron,Not Required,
Big Trout Lake Fish Barrier Dam,MI01291,Marquette,Not Required,
Hawkins Dam,MI01292,Ingham,Not Required,
Lowry Dam,MI01293,Ingham,Not Required,
VFW Dam,MI01294,Ingham,Not Required,
Brocky Lake Fish Barrier Dam,MI01295,Marquette,Not Required,
Hunt Creek Dam,MI01296,Montmorency,Not Required,
Crystal Creek Detention Dam #1,MI01298,Macomb,Not Required,
Beaver Dam,MI01299,Iosco,Not Required,
Crocker Dam,MI01300,Iosco,Not Required,
Daugharty Dam,MI01301,Iosco,Not Required,
Elmer Wurth Dam,MI01302,Iosco,Not Required,
Frisenger Dam,MI01303,Iosco,Not Required,
Ponderosa Club Dam,MI01304,Iosco,Not Required,
Sim's Creek Ranch Dam,MI01305,Iosco,Not Required,
Trails End Dude Ranch Dam,MI01306,Iosco,Not Required,
Wellna Dam,MI01307,Iosco,Not Required,
Camp Six Creek Dam,MI01308,Iron,Not Required,
Gagnon Dam,MI01309,Iron,Not Required,
Giordana Dam,MI01310,Iron,Not Required,
Deer Lake Dam,MI01311,Iron,Not Required,
No Name,MI01312,Iron,Not Required,
No Name,MI01313,Iron,Not Required,
Long Lake Pond Dam,MI01314,Montmorency,Not Required,
Brezenski Dam,MI01315,Iron,Not Required,
Premo Dam,MI01317,Iron,Not Required,
Van Laanen Dam,MI01318,Iron,Not Required,
Winslow Dam,MI01319,Iron,Not Required,
Grey's Dam,MI01320,Isabella,Not Required,
Baldwin Flooding Dam,MI01322,Jackson,Not Required,
Clarks Lake Dam,MI01323,Jackson,Not Required,
Island House,MI01324,Antrim,Not Required,
Michigan Center Pike Marsh Dam,MI01326,Jackson,Not Required,
Petterson Dam,MI01327,Jackson,Not Required,
Schroen Dam,MI01328,Jackson,Not Required,
Phipps Dam,MI01329,Montmorency,Not Required,
Rays Dam,MI01330,Montmorency,Not Required,
Chamberlain Dam,MI01331,Kalamazoo,Not Required,
Christian Dam,MI01332,Kalamazoo,Not Required,
Dillon Dam,MI01333,Kalamazoo,Not Required,
Hagadone Dam,MI01334,Kalamazoo,Not Required,
Hannifin-Parker Pond Dam,MI01335,Kalamazoo,Not Required,
Knappen Milling Co Lower Dam,MI01336,Kalamazoo,Not Required,
Knapper Mill Upper Dam,MI01337,Kalamazoo,Not Required,
Chilson Pond Dam #1,MI01338,Livingston,Not Required,
Milham Dam,MI01339,Kalamazoo,Not Required,
Milham Park Dam,MI01340,Kalamazoo,Not Required,
Mud Lake Dam,MI01341,Jackson,Not Required,
North Crum County Roadside Park Dam,MI01342,Kalamazoo,Not Required,
Gray Dam,MI01343,Kalkaska,Not Required,
Willow Lake Dam,MI01344,Kalamazoo,Not Required,
Roelof Dam,MI01345,Kalamazoo,Not Required,
Roelof Dam,MI01346,Kalamazoo,Not Required,
Roelof Dam,MI01347,Kalamazoo,Not Required,
South Crum County Roadside Park Dam,MI01348,Kalamazoo,Not Required,
Sugarloaf Lake Diversion Dam,MI01349,Kalamazoo,Not Required,
Pietila Dam,MI01350,Marquette,Not Required,
Ash Dam,MI01352,Kalkaska,Not Required,
Beren's Dam,MI01353,Ottawa,Yes,11-Jun-02
Steenwyk Dam,MI01354,Ottawa,Yes,09-Oct-14
Condon Dam,MI01355,Kalkaska,Not Required,
Cotton Dam,MI01356,Kalkaska,Not Required,
Davis Pond #1 Dam,MI01357,Kalkaska,Not Required,
Davis Pond #2 Dam,MI01358,Kalkaska,Not Required,
Davis Pond #3 Dam,MI01359,Kalkaska,Not Required,
Goose Creek Impoundment Dam,MI01360,Kalkaska,Not Required,
Gould Dam,MI01361,Kalkaska,Not Required,
Hall Dam (Lower),MI01362,Ottawa,Not Required,
Hall Dam (Upper),MI01363,Ottawa,Not Required,
Moon Lake Dam,MI01364,Shiawassee,Not Required,
Mud Lake Dam,MI01365,Kalkaska,Not Required,
Lutz Dam,MI01366,Kalkaska,Not Required,
Pontiac Motor Division Detention Basin,MI01367,Oakland,Not Required,
Cheney Lake Dam,MI01370,Eaton,Not Required,
Lombard Lake Dam,MI01371,Hillsdale,Not Required,
Radtke Dam,MI01372,Kalkaska,Not Required,
Simmons Dam,MI01375,Kalkaska,Not Required,
Skinner Dam,MI01376,Kalkaska,Not Required,
Vantol Dam,MI01377,Kalkaska,Not Required,
Wellman Dam,MI01379,Kalkaska,Not Required,
Wells Dam #1,MI01380,Kalkaska,Not Required,
Wells Dam #2,MI01381,Kalkaska,Not Required,
Heuser Dam,MI01383,Van Buren,Not Required,
Williams Dam,MI01384,Kalkaska,Not Required,
Augustine Dam,MI01385,Kent,Not Required,
Bryant Lake Dam,MI01386,Alcona,Not Required,
Beautification Dam,MI01387,Kent,Not Required,
Chou-Cannon Dam,MI01388,Kent,Not Required,
Grand River Beautification Dams,MI01389,Kent,Not Required,
Hanson Dam,MI01390,Kent,Not Required,
Honey Creek Dam,MI01391,Kent,Not Required,
Laraway Creek Detention Basin Dam,MI01392,Kent,Not Required,
Squaw Lake Dam,MI01393,Kent,Not Required,
Silver Creek Dam,MI01394,Alcona,Not Required,
Wittenbach Dam,MI01395,Kent,Not Required,
Townwood Dam,MI01396,Kent,Not Required,
Whitneyville Dam,MI01397,Kent,Not Required,
Garden City Pond Dam,MI01398,Keweenaw,Not Required,
Horseshoe Pond Dam,MI01399,Keweenaw,Not Required,
Shay Lake Level Control Structure,MI01400,Tuscola,Not Required,
Lake Medora Dam,MI01401,Keweenaw,Not Required,
North Gaede Marsh Dam,MI01402,Tuscola,Not Required,
Anderson Dam,MI01403,Lake,Not Required,
East Gaede Marsh Dam,MI01404,Tuscola,Not Required,
Big Springs Dams,MI01405,Lake,Not Required,
Bray Lake Dam,MI01406,Lake,Not Required,
Cossette Dam,MI01407,Lake,Not Required,
Cossette Dam,MI01408,Lake,Not Required,
Cossette Dam,MI01409,Lake,Not Required,
Crystal Springs Trout Ranch Dam,MI01410,Lake,Not Required,
Kinney Creek Dam,MI01411,Lake,Not Required,
Section Z Bulkhead Dam,MI01412,Montmorency,Not Required,
Lapoint Dam,MI01413,Lake,Not Required,
Little Widewaters Flooding Dam,MI01414,Lake,Not Required,
Mohler Trout Ranch Dam,MI01415,Lake,Not Required,
Sanborn Creek,MI01417,Lake,Not Required,
Vertalka Dam,MI01418,Lake,Not Required,
Zerbis Dam,MI01419,Lake,Not Required,
Barnes Lake Dam,MI01420,Lapeer,Not Required,
No Name,MI01421,Muskegon,Not Required,
Caley Dam,MI01422,Lapeer,Not Required,
Lapeer State Game Area Flooding #13 Dam,MI01423,Lapeer,Not Required,
Emery Dam,MI01424,Lapeer,Not Required,
Johnson Dam,MI01425,Lapeer,Not Required,
Algoe Lake #1 Dam,MI01426,Lapeer,Not Required,
Lower Reed Lake Dam,MI01427,Lapeer,Not Required,
Marciniak Dam #2,MI01428,Lapeer,Not Required,
McDowell Lake Dam,MI01429,Lapeer,Not Required,
Mc Glashen Dam,MI01430,Lapeer,Not Required,
Briarwood Detention Basin Dam,MI01431,Macomb,Not Required,
Irving Thom Electric Weir & Trap,MI01432,Lapeer,Not Required,
Peppermill Dam,MI01434,Lapeer,Not Required,
Renshaw Dam,MI01435,Lapeer,Not Required,
Tertin Dam,MI01436,Lapeer,Not Required,
Tody Dam,MI01437,Lapeer,Not Required,
Watts Lake Dam,MI01438,Lapeer,Not Required,
Martinson Dam,MI01439,Leelanau,Not Required,
Miser Dam,MI01440,Leelanau,Not Required,
Northport Dam,MI01441,Leelanau,Not Required,
Solon Dam,MI01442,Leelanau,Not Required,
Barnhart Lake Dam,MI01443,Presque Isle,Not Required,
Juniper Hills Dam,MI01444,Lenawee,Not Required,
South Gaede Marsh Dam,MI01446,Tuscola,Not Required,
Crooked Lake Walleye Pond,MI01447,Cheboygan,Not Required,
Alexy Dam,MI01448,Livingston,Not Required,
Anderson's Dam,MI01449,Livingston,Not Required,
Brighton Mill Dam,MI01450,Livingston,Not Required,
Burke's Dam,MI01451,Livingston,Not Required,
Cameron Dam,MI01452,Livingston,Not Required,
Carmer Dam,MI01453,Livingston,Not Required,
Church Of God Youth Camp Dam,MI01454,Livingston,Not Required,
Cornell's Dam,MI01455,Livingston,Not Required,
Eddie Dam #1,MI01456,Livingston,Not Required,
Eddie Dam #2,MI01457,Livingston,Not Required,
Gardhouse Dam,MI01458,Livingston,Not Required,
Hick's Dam,MI01459,Livingston,Not Required,
Hidden Lake Dam,MI01460,Livingston,Not Required,
Kreeger Dam,MI01461,Livingston,Not Required,
Robbs Creek Dam,MI01462,Alcona,Not Required,
Lougheed Dam,MI01463,Livingston,Not Required,
MacGuire Lake Dam,MI01464,Livingston,Not Required,
Lake Echo Dam,MI01465,Livingston,Not Required,
Parke's Dam,MI01466,Livingston,Not Required,
Parkwood Road Dam,MI01467,Livingston,Not Required,
Marsh Unit Flooding #4,MI01468,Livingston,Not Required,
Riopelle Pond Dam,MI01469,Livingston,Not Required,
Sandy Bottom Lake Dam,MI01470,Livingston,Not Required,
Trollman Dam,MI01471,Livingston,Not Required,
Leighton Millpond Dam,MI01472,Allegan,Not Required,
Whalen Lake Dam,MI01473,Livingston,Not Required,
Brower Dam,MI01474,Luce,Not Required,
Carroll Dam,MI01475,Luce,Not Required,
Gummerson Dam,MI01476,Luce,Not Required,
Halfway Lake Dam,MI01477,Luce,Not Required,
Helgren Dam,MI01478,Luce,Not Required,
Kubont Dam,MI01479,Luce,Not Required,
Long Lake Pike Rearing Pond Dam,MI01480,Barry,Not Required,
Schaefer Dam #1,MI01481,Luce,Not Required,
Schaefer Dam #2,MI01482,Luce,Not Required,
Spooner's Dam,MI01483,Luce,Not Required,
St. Jean Dam,MI01484,Luce,Not Required,
George Wood Dam,MI01485,Luce,Not Required,
Tressler Dam,MI01486,Luce,Not Required,
Whorl Club Trout Pond Dam,MI01487,Luce,Not Required,
Parmalee Road Dam,MI01488,Barry,Not Required,
Burton Dam,MI01489,Mackinac,Not Required,
Fenley's Ponds Dam,MI01490,Mackinac,Not Required,
Flowers Creek Trout Pond Dam,MI01491,Mackinac,Not Required,
Glashaw's Pond Dam,MI01492,Mackinac,Not Required,
Jocko Creek Dam,MI01493,Mackinac,Not Required,
Lake Pines Pond Dam,MI01494,Mackinac,Not Required,
Lower Silver Creek Dam,MI01495,Mackinac,Not Required,
Mc Donald Dam,MI01496,Mackinac,Not Required,
McEachern Spring Pond Dam,MI01497,Mackinac,Not Required,
Middle Silver Creek Dam,MI01498,Mackinac,Not Required,
Milkokia Lake Dam,MI01499,Mackinac,Not Required,
Millecoquins Lake Level Control Struc,MI01500,Mackinac,Not Required,
Perchinski Dam,MI01501,Mackinac,Not Required,
Portage Creek Dam,MI01502,Mackinac,Not Required,
Lawton Walleye Pond Dam,MI01503,Charlevoix,Not Required,
Rapp Dam,MI01504,Mackinac,Not Required,
Twin Pines Trout Pond Dam,MI01506,Mackinac,Not Required,
Upper Cold Creek Trout Pond Dam,MI01507,Mackinac,Not Required,
Upper Silver Creek Dam,MI01508,Mackinac,Not Required,
