DAM_NAME,NAT_ID,CNTY_NAME,EAP,Last EAP Update
Buckhorn Creek Dam,MI00210,Mecosta,Not Required,
Schmucker Creek Dam,MI00211,Huron,Not Required,
Morley Dam,MI00212,Mecosta,Yes,29-Mar-13
Sportsmans Club Dam,MI00213,Presque Isle,Not Required,
Haymarsh Lake Dam,MI00214,Mecosta,Not Required,
Hermansville Dam,MI00215,Menominee,Yes,
Shakey Lakes Dam,MI00216,Menominee,Yes,22-Dec-10
Hayward Lake Dam,MI00217,Menominee,Not Required,
Falmouth Dam,MI00218,Missaukee,Not Required,
Bay Land Dam,MI00219,Ogemaw,Not Required,
Horseshoe Lake Dam,MI00220,Missaukee,Not Required,
Peas Lake Dam,MI00221,Isabella,Not Required,
Reedsburg Dam,MI00222,Missaukee,Yes,11-Dec-09
Dundee Mill Dam,MI00223,Monroe,Not Required,
County Farm Dam,MI00224,Montcalm,Not Required,
Rush Lake Level Control Structure,MI00225,Montmorency,Not Required,
Atlanta Dam,MI00226,Montmorency,Not Required,
Brush Creek Dam,MI00227,Montmorency,Not Required,
Browns Pond Dam,MI00228,Muskegon,Yes,05-Oct-07
Stronach Dam,MI00229,Manistee,Not Required,
Mission Creek Dam,MI00230,Isabella,Not Required,
Hodder Dam,MI00231,Lapeer,Not Required,
Silver Creek Pond Dam,MI00232,Muskegon,Not Required,
Schneiders Dam,MI00233,Manistee,Not Required,
Rowe Dam No 1,MI00234,Newaygo,Not Required,
Rowe Dam No 2,MI00235,Newaygo,Not Required,
Hamlin Lake Dam,MI00236,Mason,Yes,09-Jul-15
Oxford Multi-lakes,MI00237,Oakland,Not Required,
Foch Lakes Dam,MI00238,Montmorency,Not Required,
Bunny Run Dam,MI00239,Oakland,Not Required,
Clarkston Dam,MI00240,Oakland,Yes,02-Sep-11
Clintonville Dam,MI00241,Oakland,Yes,08-Dec-16
Commerce Dam,MI00242,Oakland,Not Required,
Tomahawk Creek Flooding Dam,MI00243,Presque Isle,Not Required,
Davisburg Dam,MI00244,Oakland,Not Required,
Loon Lake Dam,MI00245,Oakland,Yes,08-Dec-16
Cornwall Creek Dam,MI00246,Cheboygan,Yes,15-Feb-07
Erity Dam,MI00247,Oakland,Not Required,
Ford Dam #3 (Hubbell Pond),MI00248,Oakland,Yes,01-Jun-13
Wildwood Lake Dam,MI00249,Cheboygan,Yes,01-Jun-12
Gehrke Dam,MI00250,Oakland,Not Required,
Ruffini and Wood Dam,MI00251,Chippewa,Not Required,
Shelldrake Dam,MI00252,Chippewa,Not Required,
Holly Dam,MI00253,Oakland,Yes,07-Feb-18
Dollarville Dam,MI00254,Luce,Not Required,
Lake Louise Dam,MI00255,Oakland,Yes,08-Dec-16
Lakeville Lake Dam,MI00256,Oakland,Not Required,
Stanley Lake Dam,MI00257,Schoolcraft,Not Required,
Blind Sucker Flooding Dam,MI00258,Luce,Not Required,
Lake Orion Dam,MI00259,Oakland,Yes,13-May-02
Spring Creek Trout Pond Dam,MI00260,Luce,Not Required,
Lake Le Vasseur Dam,MI00261,Alger,Not Required,
Niobe Dam,MI00262,Lapeer,Not Required,
Oxbow Dam,MI00263,Oakland,Yes,16-Nov-16
Perrysville Dam,MI00264,Oakland,Not Required,
Pontiac Lake Dam,MI00265,Oakland,Yes,08-Dec-16
Pungs Dam,MI00266,Oakland,Not Required,
Quarton Dam,MI00267,Oakland,Yes,20-Jun-17
Fultons Pond Dam,MI00268,Ontonagon,Not Required,
White Pine Mine North Tailings Dam #2,MI00269,Ontonagon,Yes,01-Dec-11
Indian Creek Dam,MI00270,Lapeer,Not Required,
Carpenter Dam (Indian Lake Dam),MI00271,Schoolcraft,Yes,01-May-04
Bald Mountain Pond Dam,MI00272,Oakland,Not Required,
Spring Lake Dam,MI00273,Oakland,Not Required,
Grays Creek Dam,MI00274,Schoolcraft,Not Required,
Waterford Multi-Lakes Level Control,MI00275,Oakland,Yes,08-Dec-16
Wildwood Lake Dam,MI00276,Oakland,Yes,29-Jan-07
Winkler Pond Dam,MI00277,Oakland,Yes,02-May-13
Black Creek Dam,MI00278,Mackinac,Not Required,
Crystal Valley Dam,MI00279,Oceana,Not Required,
Gales Pond Dam,MI00280,Oceana,Not Required,
Hart Dam,MI00281,Oceana,Yes,
Devoe Lake Dam,MI00282,Ogemaw,Not Required,
Nahma Marsh Dam,MI00283,Delta,Not Required,
Mansfield Club Dam,MI00284,Ogemaw,Not Required,
Marciniak Dam #1,MI00285,Lapeer,Not Required,
Upper Reed Lake Dam,MI00286,Lapeer,Not Required,
Heintz Lake Dam,MI00287,Ogemaw,Not Required,
Stylus Lake Dam,MI00288,Ogemaw,Not Required,
Brebner Dam,MI00289,Marquette,Not Required,
Sanback Dam,MI00290,Ogemaw,No,
Engle Pond Dam,MI00291,Ogemaw,Not Required,
